origin,destination,distance_km,duration_mins,,League
AFC Porth,Pontardawe Town,74.08,69.78,46.03116368,South West
Caerau Ely,Pontardawe Town,69.12,55.67,42.94916352,South West
Cwmamman Utd,Pontardawe Town,14.32,28.58,8.89803272,South West
Dinas Powys,Pontardawe Town,78.5,62.72,48.7776235,South West
Garden Village,Pontardawe Town,19.45,24.52,12.08566595,South West
Penrhiwceiber Rangers,Pontardawe Town,56.78,62.67,35.28144538,South West
Penydarren BGC,Pontardawe Town,54.86,52.3,34.08841306,South West
Pontardawe Town,Pontardawe Town,NA,NA,NA,South West
Pontyclun,Pontardawe Town,62.95,54.57,39.11530445,South West
STM Sports,Pontardawe Town,78.72,69.47,48.91432512,South West
Ton Pentre,Pontardawe Town,60.46,64.47,37.56809066,South West
Treharris Athletic,Pontardawe Town,68.86,65.92,42.78760706,South West
West End,Pontardawe Town,14.52,19.77,9.02230692,South West
Ynyshir Albions,Pontardawe Town,75.1,73.12,46.6649621,South West
Ynysygerwn,Pontardawe Town,14.52,19.77,9.02230692,South West
AFC Llwydcoed,Pontyclun,42.95,47.62,26.68788445,South West
AFC Porth,Pontyclun,14.39,29.4,8.94152869,South West
Caerau Ely,Pontyclun,15.84,24.2,9.84251664,South West
Cwmamman Utd,Pontyclun,84,71.37,52.195164,South West
Dinas Powys,Pontyclun,25.22,31.25,15.67097662,South West
Garden Village,Pontyclun,66.44,51.72,41.28388924,South West
Penrhiwceiber Rangers,Pontyclun,27.63,38.2,17.16848073,South West
Penydarren BGC,Pontyclun,37.06,43.52,23.02800926,South West
